GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payMyBuddy,payMyBuddy.config,DataBaseConfig,11,61,3,3,6,21,3,5,0,5
payMyBuddy,payMyBuddySystem.models,Transaction,7,52,0,0,3,22,2,15,2,15
payMyBuddy,payMyBuddySystem.models,User,16,38,0,0,7,16,7,11,7,11
payMyBuddy,payMyBuddySystem.models,Bank,38,0,0,0,16,0,11,0,11,0
payMyBuddy,payMyBuddySystem.models,Motif,17,0,0,0,7,0,5,0,5,0
payMyBuddy,payMyBuddySystem.models,UserFriend,7,17,0,0,3,7,2,5,2,5
payMyBuddy,payMyBuddySystem.models,UserModel,10,0,0,0,5,0,3,0,3,0
payMyBuddy,payMyBuddySystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
payMyBuddy,payMyBuddySystem.DAO,TransactionDAO,233,255,12,6,59,53,14,2,5,2
payMyBuddy,payMyBuddySystem.DAO,UserFriendDAO,241,63,11,1,79,15,13,2,7,2
payMyBuddy,payMyBuddySystem.DAO,BankDAO,289,8,8,0,86,2,10,1,6,1
payMyBuddy,payMyBuddySystem.DAO,MotifDAO,158,0,6,0,50,0,10,0,7,0
payMyBuddy,payMyBuddySystem.DAO,UserDAO,222,287,12,8,62,81,12,6,3,5
payMyBuddy,payMyBuddySystem,InputReaderUtil,43,0,4,0,14,0,6,0,4,0
payMyBuddy,payMyBuddySystem,App,5,3,0,0,2,1,1,1,1,1
payMyBuddy,payMyBuddySystem.services,UserFriendServices,27,64,0,0,5,13,2,4,2,4
payMyBuddy,payMyBuddySystem.services,BankServices,55,13,0,0,16,3,6,1,6,1
payMyBuddy,payMyBuddySystem.services,MotifServices,23,3,0,0,6,1,3,1,3,1
payMyBuddy,payMyBuddySystem.services,UserServices,47,33,4,0,12,8,6,4,4,4
payMyBuddy,payMyBuddySystem.services,TransactionServices,24,96,4,2,6,18,5,3,2,3
payMyBuddy,payMyBuddySystem.controllers,MotifController,37,3,6,0,8,1,5,1,2,1
payMyBuddy,payMyBuddySystem.controllers,UserFriendController,108,3,20,0,23,1,13,1,3,1
payMyBuddy,payMyBuddySystem.controllers,userController,111,3,8,0,30,1,9,1,5,1
payMyBuddy,payMyBuddySystem.controllers,BankController,23,3,2,0,5,1,3,1,2,1
payMyBuddy,payMyBuddySystem.controllers,TransactionController,84,3,10,0,21,1,8,1,3,1
payMyBuddy,payMyBuddySystem.security,WebSecurityConfig,0,94,0,0,0,15,0,5,0,5
payMyBuddy,payMyBuddySystem.security,AuthentificationFilter,69,9,0,0,12,4,2,1,2,1
payMyBuddy,payMyBuddySystem.security,SecurityConfig,73,3,6,0,13,1,6,1,3,1
payMyBuddy,payMyBuddySystem.security,AuthorizationFilter,61,4,8,0,18,2,6,1,2,1
payMyBuddy,payMyBuddySystem.security,GetUserToken,20,0,2,0,6,0,3,0,2,0
payMyBuddy,payMyBuddySystem.factory,DAOFactory,13,20,3,3,4,4,4,3,1,1
